timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1571899164.7944381,None,handmotor,60.011592626571655,False,0,0,0,0
1571899224.866952,None,bunny,60.00183868408203,False,0,0,0,0
1571899284.9060624,None,rocket,60.00174045562744,False,0,0,0,0
1571899344.9471314,None,tapshoulders,60.00171160697937,False,0,0,0,0
1571899404.986349,None,rocket,60.00159573554993,False,0,0,0,0
1571900582.054557,None,tapshoulders,60.00219106674194,False,0,0,0,0
1571901676.849089,bunny,handmotor,0.40139150619506836,False,2.49,1.26,4.61,0.08
1571901685.4540048,bunny,bunny,8.553743839263916,True,2.48,1.26,4.41,0.08
1571901695.3507383,bunny,rocket,9.85445523262024,False,2.48,1.26,4.27,0.09
1571901704.1127079,bunny,rocket,8.719780206680298,False,2.48,1.26,4.14,0.10
1571901711.9482555,bunny,tapshoulders,7.79314112663269,False,2.48,1.26,4.05,0.11
1571901719.5125859,bunny,bunny,7.527285575866699,True,2.49,1.26,3.98,0.11
1571901727.353865,bunny,rocket,7.798854112625122,False,2.48,1.26,3.92,0.12
1571901736.228582,bunny,tapshoulders,8.830426454544067,False,2.48,1.26,3.87,0.13
1571901744.415963,bunny,cowboy,8.144484043121338,False,2.49,1.26,3.81,0.14
1571901753.9528344,bunny,tapshoulders,9.493717670440674,False,2.48,1.26,3.77,0.14
1571901762.0283382,bunny,cowboy,8.032949209213257,False,2.48,1.26,3.73,0.15
1571901770.589663,bunny,rocket,8.518696546554565,False,2.48,1.26,3.70,0.16
1571901779.0683355,bunny,bunny,8.438091516494751,True,2.48,1.26,3.67,0.17
1571901786.3175526,bunny,handmotor,7.20606803894043,False,2.48,1.26,3.64,0.17
1571901795.4298375,bunny,bunny,9.06980013847351,True,2.48,1.26,3.62,0.18
1571901802.906249,bunny,handmotor,7.4345245361328125,False,2.48,1.26,3.59,0.19
1571901810.6481173,bunny,cowboy,7.698603630065918,False,2.48,1.26,3.58,0.19
1571901818.8427157,bunny,handmotor,8.152341365814209,False,2.48,1.26,3.56,0.20
1571901826.648074,bunny,tapshoulders,7.76241397857666,False,2.48,1.26,3.54,0.21
1571901834.328588,bunny,cowboy,7.637721300125122,False,2.48,1.26,3.53,0.21
1571901842.2579155,bunny,cowboy,7.8865392208099365,False,2.48,1.26,3.51,0.22
1571901850.0447218,bunny,cowboy,7.744075298309326,False,2.48,1.26,3.50,0.23
1571901858.751343,bunny,cowboy,8.666039943695068,False,2.48,1.26,3.49,0.23
1571901867.5004156,bunny,cowboy,8.706719160079956,False,2.48,1.26,3.47,0.24
1571902008.9086838,bunny,handmotor,7.416893005371094,False,2.48,1.26,4.04,0.07
1571902017.8343372,bunny,cowboy,8.881617069244385,False,2.48,1.26,3.93,0.08
1571902025.8180444,bunny,tapshoulders,7.946237087249756,False,2.48,1.26,3.84,0.09
1571902035.2179708,bunny,rocket,9.35890007019043,False,2.48,1.26,3.77,0.09
1571902044.6700451,bunny,tapshoulders,9.411360502243042,False,2.48,1.26,3.71,0.10
1571902054.5884538,bunny,bunny,9.880391120910645,True,2.48,1.26,3.66,0.11
